ENTREZ_ID,GENESYMBOLS
502,ERD9
503,AT3G51580
504,AT4G20760
505,AT1G52710
506,AT5G17010
507,AT1G06265
508,hemf2
509,AT5G53360
510,MTACP-1
511,AT3G08610
512,SCPL11
513,AT2G33855
514,AT2G43700
515,AT2G02770
516,AT3G47100
517,SQP1
518,AT5G13600
519,AT4G33690
520,IPP1
521,GK-1
522,AT4G22790
523,AT4G01245
524,AT1G07300
525,AT2G20362
526,AT2G12190
527,AT2G26030
528,AT1G20816
529,MIR163
530,RLP55
531,AT3G52220
532,AT4G29550
533,AT5G18407
534,AT3G02030
535,AT2G32070
536,AT2G02050
537,AT1G74875
538,AT4G07920
539,AT2G45590
540,AT5G57300
541,AER
542,AT2G41890
543,WRR4
544,AT5G02280
545,AT4G37225
546,CSLA10
547,AT1G22882
548,AT2G39500
549,PIN1AT
550,AT4G27560
551,AT1G53290
552,AT1G32570
553,AT1G52370
554,NPY3
555,AT2G28130
556,AT3G52748
557,AT2G02170
558,AT2G34310
559,ORP1A
560,AT3G23570
561,GDPD5
562,ASP1
563,ABIL1
564,ATS3
565,AT5G66550
566,AT4G11200
567,RGL3
568,AT3G28270
569,MIR157c
570,THO7
571,BLT
572,AT3G13226
573,AT5G57370
574,AT4G21720
575,AT4G04360
576,AT3G59750
577,AT1G54460
578,NUC-L2
579,SDR1
580,RABG3d
581,MUR3
582,AT3G10680
583,ANNAT1
584,AT3G05170
585,_OCT3
586,TGG1
587,AT5G17700
588,AT4G23670
589,AT5G21105
590,MOT2
591,AT5G45350
592,AT3G19470
593,AT3G06630
594,AT3G27030
595,AT1G27695
596,AT5G41960
597,AT3G59150
598,AT5G51740
599,SLT1
600,DGK3
601,KCR2
602,RIC7
603,SWEET13
604,FBH2
605,AT2G47380
606,AT3G02900
607,AT5G07580
608,CAX1
609,AT3G12040
610,AT2G47370
611,ADF4
612,NIG1
613,ZFP7
614,AT1G50732
615,AT5G12930
616,AT2G03010
617,AT3G26085
618,SRS
619,GOX2
620,AT1G72175
621,AT2G41600
622,RUP1
623,AT5G48350
624,SVL4
625,PFK5
626,AT4G22350
627,ABCC11
628,AOR
629,FUT7
630,AT1G69760
631,PFN2
632,AT4G00234
633,AT4G38840
634,AT3G28940
635,AT5G05110
636,AGP20
637,AT1G69790
638,ACA11
639,AT2G37240
640,PPa2
641,AT5G08570
642,AT1G14590
643,OTC
644,PFK2
645,AT5G44568
646,AT3G27610
647,AT5G35680
648,AT3G53270
649,AT1G27030
650,AT4G36140
651,AT1G27530
652,AT1G26550
653,CSLA03
654,AT1G25370
655,SEC15B
656,AT5G01740
657,AT1G49070
658,AT5G48050
659,PTI1-4
660,CBL3
661,AT5G17980
662,AT1G19200
663,AT2G28660
664,AT3G56290
665,HYD1
666,SSL2
667,AAP5
668,AT3G56360
669,AT4G15790
670,AT5G45740
671,AT3G24230
672,AT2G30945
673,AT3G13672
674,AT5G54860
675,AT4G15070
676,HAT1
677,AT4G00300
678,RBX1
679,AT2G44260
680,AT4G13110
681,AT1G53350
682,SRS4
683,MEE40
684,AT1G70790
685,AT3G26950
686,AT2G25570
687,FH4
688,AOAT2
689,AT5G17000
690,AT5G55570
691,CYP705A9
692,AT3G27100
693,AT4G21745
694,AT4G34215
695,ARK2
696,GONST3
697,AT1G15250
698,AT2G27330
699,MAP1B
700,AT5G39570
701,AT5G05370
702,AT1G51805
703,AFP2
704,AT5G42740
705,MSD1
706,WRKY18
707,TTR1
708,TLL1
709,AT5G05400
710,AT1G05770
711,AT5G42110
712,AT1G03710
713,AT5G66740
714,MAGO
715,AT5G46520
716,MPK17
717,AT5G50665
718,PLC8
719,AT5G23760
720,UGD2
721,AT4G21460
722,GLYR1
723,AT1G20490
724,AT4G16892
725,AT5G46620
726,AT3G57590
727,MSR2
728,AT3G11290
729,AT4G06701
730,NUDT12
731,AT5G08750
732,AT1G49610
733,CAM9
734,GulLO4
735,CSLG1
736,AT5G44720
737,ARL1
738,SAL1
739,CLE44
740,ARD1
741,AT2G38500
742,EXPA5
743,AT3G14395
744,AIP3
745,RMF
746,AT2G44310
747,FUT3
748,AT3G04700
749,AT5G39730
750,PLAT1
751,AT3G27230
752,UMAMIT10
753,AT5G59760
754,AT5G40910
755,SYP32
756,I-2
757,PUP8
758,AT4G21865
759,AT3G13030
760,AT3G22415
761,ST4C
762,AT2G14110
763,VMA10
764,AT3G24517
765,EEL
766,NF-YC10
767,AT3G30867
768,AT4G26230
769,AT5G46870
770,AT5G17830
771,AT1G17350
772,AT1G06640
773,PUX3
774,AT5G67640
775,AT5G16060
776,AT1G05780
777,MED21
778,AT5G03490
779,AT5G02070
780,VHA-C3
781,UBC36
782,AT2G23985
783,COR413-PM2
784,AT5G23950
785,DAL1
786,AT1G23465
787,AT4G01650
788,SPL2
789,AT5G11930
790,PGLP2
791,APT3
792,AT5G38610
793,AT4G32930
794,AT5G52580
795,AT4G10990
796,AT1G70885
797,ATARD2
798,ATDAD1
799,VATPD
800,ECI1
801,VTC4
802,CYP71A23
803,AT4G38090
804,AT5G42146
805,AT2G40460
806,AT2G07765
807,LPPgamma
808,AT2G27290
809,PPOX
810,ATPUP13
811,AT3G22770
812,AT2G32795
813,AT1G49370
814,AT1G13880
815,GSTZ2
816,AT2G22905
817,AT4G01150
818,AT4G10330
819,AT5G17530
820,TOM20-4
821,AT2G36835
822,AT1G70985
823,AT4G30010
824,NIA2
825,EDL2
826,AT2G20950
827,SDH6
828,AT1G70505
829,FRO1
830,TH9
831,NRT2.7
832,AT4G39235
833,BRG3
834,AT3G12510
835,AT2G41120
836,AT5G14550
837,AT4G22753
838,AT2G35450
839,AT1G18490
840,AT4G03175
841,AT5G46450
842,NRT1:2
843,AT3G02070
844,AT2G38180
845,ISI1
846,AT2G04820
847,GBSS1
848,GAMMA CA2
849,DRT101
850,AT3G21805
851,GSTL3
852,RHD1
853,GTR1
854,AT2G19650
855,AT3G02300
856,RAN-1
857,CYP71B35
858,AT3G16120
859,AT1G67300
860,AP19
861,AT2G35840
862,EXO70D1
863,LTP
864,AT3G46484
865,cPT4
866,AT5G63370
867,AT3G04660
868,AT5G45790
869,WIH1
870,AT1G45010
871,c-NAD-MDH2
872,AT1G52730
873,AT4G13000
874,TIR
875,AT1G63570
876,AT3G02510
877,AT5G46440
878,AT4G14090
879,AT5G50110
880,TUF
881,AT1G23970
882,SWEET17
883,LOV1
884,SMAP1
885,AT3G06760
886,AUF1
887,CRK27
888,TMT3
889,AT5G63150
890,AT5G14450
891,AT1G11330
892,PRF3
893,PPT2
894,scpl10
895,AAE12
896,AT3G30740
897,AT1G10330
898,GLYR2
899,AT5G04910
