GENESYMBOLS,ENTREZ_ID,,
AT2G37240,639,,
PPa2,640,,
AT5G08570,641,,
AT1G14590,642,,
OTC,643,,
PFK2,644,,
AT5G44568,645,,
AT3G27610,646,,
AT5G35680,647,,
AT3G53270,648,,
AT1G27030,649,,
AT4G36140,650,,
AT1G27530,651,,
AT1G26550,652,,
CSLA03,653,,
AT1G25370,654,,
SEC15B,655,,
AT5G01740,656,,
AT1G49070,657,,
AT5G48050,658,,
PTI1-4,659,,
CBL3,660,,
AT5G17980,661,,
AT1G19200,662,,
AT2G28660,663,,
AT3G56290,664,,
HYD1,665,,
SSL2,666,,
AAP5,667,,
AT3G56360,668,,
AT4G15790,669,,
AT5G45740,670,,
AT3G24230,671,,
AT2G30945,672,,
AT3G13672,673,,
AT5G54860,674,,
AT4G15070,675,,
HAT1,676,,
AT4G00300,677,,
RBX1,678,,
AT2G44260,679,,
AT4G13110,680,,
AT1G53350,681,,
SRS4,682,,
MEE40,683,,
AT1G70790,684,,
AT3G26950,685,,
AT2G25570,686,,
FH4,687,,
AOAT2,688,,
AT5G17000,689,,
AT5G55570,690,,
CYP705A9,691,,
AT3G27100,692,,
AT4G21745,693,,
AT4G34215,694,,
ARK2,695,,
GONST3,696,,
AT1G15250,697,,
AT2G27330,698,,
MAP1B,699,,
AT5G39570,700,,
AT5G05370,701,,
AT1G51805,702,,
AFP2,703,,
AT5G42740,704,,
MSD1,705,,
WRKY18,706,,
TTR1,707,,
TLL1,708,,
AT5G05400,709,,
AT1G05770,710,,
AT5G42110,711,,
AT1G03710,712,,
AT5G66740,713,,
MAGO,714,,
AT5G46520,715,,
MPK17,716,,
AT5G50665,717,,
PLC8,718,,
AT5G23760,719,,
UGD2,720,,
AT4G21460,721,,
GLYR1,722,,
AT1G20490,723,,
AT4G16892,724,,
AT5G46620,725,,
AT3G57590,726,,
MSR2,727,,
AT3G11290,728,,
AT4G06701,729,,
NUDT12,730,,
AT5G08750,731,,
AT1G49610,732,,
CAM9,733,,
GulLO4,734,,
CSLG1,735,,
AT5G44720,736,,
ARL1,737,,
SAL1,738,,
CLE44,739,,
ARD1,740,,
AT2G38500,741,,
EXPA5,742,,
AT3G14395,743,,
AIP3,744,,
RMF,745,,
AT2G44310,746,,
FUT3,747,,
AT3G04700,748,,
AT5G39730,749,,
PLAT1,750,,
AT3G27230,751,,
UMAMIT10,752,,
AT5G59760,753,,
AT5G40910,754,,
SYP32,755,,
I-2,756,,
PUP8,757,,
AT4G21865,758,,
AT3G13030,759,,
AT3G22415,760,,
ST4C,761,,
AT2G14110,762,,
VMA10,763,,
AT3G24517,764,,
EEL,765,,
NF-YC10,766,,
AT3G30867,767,,
AT4G26230,768,,
AT5G46870,769,,
AT5G17830,770,,
AT1G17350,771,,
AT1G06640,772,,
PUX3,773,,
AT5G67640,774,,
AT5G16060,775,,
